week,Hour,TPS,,
1,0,2008.624615,4.693048166,5
1,1,1227.826923,2.868754493,3
1,2,446.0269231,1.042118979,2
1,3,330.7615385,0.772807333,1
1,4,530.2207692,1.238833573,2
1,5,933.1484615,2.180253415,3
1,6,1454.348462,3.398010425,4
1,7,2026.666154,4.735201294,5
1,8,2601.990769,6.079417685,7
1,9,3146.243846,7.351037023,8
1,10,3640.381538,8.505564341,9
1,11,4073.378462,9.517239397,10
1,12,4441.225385,10.37669482,11
1,13,4745.926923,11.08861431,12
1,14,4991.492308,11.66236521,12
1,15,5180.928462,12.10497304,13
1,16,5315.237692,12.41877965,13
1,17,5387.403846,12.58739216,13
1,18,5384.396923,12.58036664,13
1,19,5281.159231,12.33915708,13
1,20,5039.603077,11.77477354,12
1,21,4604.601538,10.75841481,11
1,22,3901.983846,9.116784687,10
1,23,2838.535385,6.632092021,7
1,24,2134.915385,4.988120058,5
1,25,985.2684615,2.302029116,3
1,26,433.9992308,1.014016894,2
1,27,322.7430769,0.75407261,1
1,28,516.1884615,1.206047807,2
1,29,910.0953846,2.126391086,3
1,30,1418.265385,3.313704171,4
1,31,1975.548462,4.615767435,5
1,32,2536.840769,5.927198058,6
1,33,3068.063846,7.168373472,8
1,34,3549.171538,8.292456864,9
1,35,3971.143077,9.278371675,10
1,36,4329.969231,10.11675054,11
1,37,4627.654615,10.81227714,11
1,38,4867.206154,11.371977,12
1,39,5051.630769,11.80287563,12
1,40,5181.930769,12.10731488,13
1,41,5253.094615,12.27358555,13
1,42,5250.087692,12.26656003,13
1,43,5149.856923,12.03237599,13
1,44,4913.312308,11.47970165,12
1,45,4489.336154,10.48910316,11
1,46,3804.76,8.889626168,9
1,47,2767.371538,6.46582135,7
1,48,2080.790769,4.861660675,5
1,49,960.2107692,2.243483106,3
1,50,423.9761538,0.99059849,1
1,51,314.7246154,0.735337886,1
1,52,503.1584615,1.175603882,2
1,53,887.0423077,2.072528756,3
1,54,1382.182308,3.229397916,4
1,55,1926.435385,4.501017255,5
1,56,2473.695385,5.779662114,6
1,57,2990.886154,6.988051762,7
1,58,3460.968462,8.086374911,9
1,59,3871.914615,9.046529474,10
1,60,4221.72,9.863831776,10
1,61,4511.386923,10.54062365,11
1,62,4744.924615,11.08627246,12
1,63,4925.34,11.50780374,12
1,64,5052.633077,11.80521747,12
1,65,5121.792308,11.96680446,12
1,66,5118.785385,11.95977894,12
1,67,5020.559231,11.73027858,12
1,68,4791.030769,11.19399712,12
1,69,4377.077692,10.22681704,11
1,70,3709.540769,8.667151329,9
1,71,2698.212308,6.304234364,7
1,72,2028.670769,4.739884974,5
1,73,936.1553846,2.187278936,3
1,74,412.9507692,0.964838246,1
1,75,306.7061538,0.716603163,1
1,76,491.1307692,1.147501797,2
1,77,864.9915385,2.021008268,3
1,78,1348.103846,3.149775341,4
1,79,1878.324615,4.388608914,5
1,80,2411.552308,5.634468009,6
1,81,2916.715385,6.814755572,7
1,82,3374.77,7.884976636,8
1,83,3774.690769,8.819370956,9
1,84,4116.477692,9.617938533,10
1,85,4399.128462,10.27833753,11
1,86,4626.652308,10.8099353,11
1,87,4802.056154,11.21975737,12
1,88,4926.342308,11.51014558,12
1,89,4993.496923,11.66704889,12
1,90,4990.49,11.66002336,12
1,91,4895.270769,11.43754853,12
1,92,4670.753846,10.91297628,11
1,93,4267.826154,9.971556435,10
1,94,3617.328462,8.451702014,9
1,95,2630.055385,6.144989217,7
1,96,1978.555385,4.622792956,5
1,97,913.1023077,2.133416607,3
1,98,402.9276923,0.941419842,1
1,99,298.6876923,0.69786844,1
1,100,479.1030769,1.119399712,2
1,101,842.9407692,1.969487779,2
1,102,1314.025385,3.070152769,4
1,103,1831.216154,4.278542416,5
1,104,2351.413846,5.493957584,6
1,105,2843.546923,6.643801222,7
1,106,3289.573846,7.685920201,8
1,107,3680.473846,8.599237958,9
1,108,4013.24,9.376728972,10
1,109,4288.874615,10.02073508,11
1,110,4510.384615,10.53828181,11
1,111,4682.781538,10.94107836,11
1,112,4803.058462,11.22209921,12
1,113,4869.210769,11.37666068,12
1,114,4866.203846,11.36963515,12
1,115,4772.989231,11.151844,12
1,116,4554.486154,10.64132279,11
1,117,4160.579231,9.720979512,10
1,118,3526.118462,8.238594537,9
1,119,2564.905385,5.992769591,6
1,120,1483.415385,3.465923797,4
1,121,684.5761538,1.599476995,2
1,122,301.6946154,0.704893961,1
1,123,224.5169231,0.52457225,1
1,124,358.8261538,0.838378864,1
1,125,632.4561538,1.477701294,2
1,126,985.2684615,2.302029116,3
1,127,1373.161538,3.20832135,4
1,128,1763.059231,4.119297269,5
1,129,2132.910769,4.983436376,5
1,130,2467.681538,5.76561107,6
1,131,2760.355385,6.44942847,7
1,132,3009.93,7.032546729,8
1,133,3216.405385,7.514965853,8
1,134,3382.788462,7.90371136,8
1,135,3512.086154,8.205808771,9
1,136,3602.293846,8.416574407,9
1,137,3651.406923,8.531324586,9
1,138,3649.402308,8.526640907,9
1,139,3579.240769,8.362712077,9
1,140,3415.864615,7.980992091,8
1,141,3121.186154,7.292491014,8
1,142,2645.09,6.180116822,7
1,143,1923.428462,4.493991734,5
1,144,1582.643846,3.697765995,4
1,145,730.6823077,1.707201654,2
1,146,321.7407692,0.751730769,1
1,147,238.5492308,0.557358016,1
1,148,382.8815385,0.894583034,1
1,149,674.5530769,1.576058591,2
1,150,1051.420769,2.456590582,3
1,151,1465.373846,3.423770668,4
1,152,1881.331538,4.395634435,5
1,153,2275.238462,5.315977715,6
1,154,2632.06,6.149672897,7
1,155,2944.78,6.880327103,7
1,156,3210.391538,7.500914808,8
1,157,3430.899231,8.016119699,9
1,158,3608.307692,8.430625449,9
1,159,3745.623846,8.751457584,9
1,160,3842.847692,8.978616103,9
1,161,3894.967692,9.100391804,10
1,162,3892.963077,9.095708124,10
1,163,3818.792308,8.922411935,9
1,164,3675.462308,8.587528757,9
1,165,3450.945385,8.062956507,9
1,166,3031.980769,7.084067217,8
1,167,2415.561538,5.643835369,6
2,0,2013.249231,4.703853343,5
2,1,1230.653846,2.875359453,3
2,2,447.0538462,1.044518332,2
2,3,331.5230769,0.774586628,1
2,4,531.4415385,1.241685838,2
2,5,935.2969231,2.185273185,3
2,6,1457.696923,3.405833932,4
2,7,2031.332308,4.746103523,5
2,8,2607.981538,6.093414808,7
2,9,3153.487692,7.367961897,8
2,10,3648.763077,8.525147376,9
2,11,4082.756923,9.539151689,10
2,12,4451.450769,10.40058591,11
2,13,4756.853846,11.1141445,12
2,14,5002.984615,11.68921639,12
2,15,5192.856923,12.13284328,13
2,16,5327.475385,12.44737239,13
2,17,5399.807692,12.61637311,13
2,18,5396.793846,12.60933142,13
2,19,5293.318462,12.3675665,13
2,20,5051.206154,11.80188354,12
2,21,4615.203077,10.78318476,11
2,22,3910.967692,9.137774981,10
2,23,2845.070769,6.64736161,7
2,24,2139.830769,4.9996046,5
2,25,987.5369231,2.30732926,3
2,26,434.9984615,1.016351546,2
2,27,323.4861538,0.755808771,1
2,28,517.3769231,1.208824587,2
2,29,912.1907692,2.131286844,3
2,30,1421.530769,3.321333572,4
2,31,1980.096923,4.62639468,5
2,32,2542.681538,5.940844715,6
2,33,3075.127692,7.184877785,8
2,34,3557.343077,8.311549245,9
2,35,3980.286154,9.299734005,10
2,36,4339.938462,10.14004314,11
2,37,4638.309231,10.8371711,11
2,38,4878.412308,11.3981596,12
2,39,5063.261538,11.83005032,12
2,40,5193.861538,12.13519051,13
2,41,5265.189231,12.301844,13
2,42,5262.175385,12.2948023,13
2,43,5161.713846,12.06007908,13
2,44,4924.624615,11.50613228,12
2,45,4499.672308,10.51325306,11
2,46,3813.52,8.910093458,9
2,47,2773.743077,6.480708124,7
2,48,2085.581538,4.872854061,5
2,49,962.4215385,2.248648454,3
2,50,424.9523077,0.992879224,1
2,51,315.4492308,0.737030913,1
2,52,504.3169231,1.178310568,2
2,53,889.0846154,2.077300503,3
2,54,1385.364615,3.236833213,4
2,55,1930.870769,4.511380301,5
2,56,2479.390769,5.792969086,6
2,57,2997.772308,7.004140907,8
2,58,3468.936923,8.104992811,9
2,59,3880.829231,9.067358016,10
2,60,4231.44,9.886542056,10
2,61,4521.773846,10.56489216,11
2,62,4755.849231,11.11179727,12
2,63,4936.68,11.53429907,12
2,64,5064.266154,11.83239756,12
2,65,5133.584615,11.99435658,12
2,66,5130.570769,11.98731488,12
2,67,5032.118462,11.75728613,12
2,68,4802.061538,11.21976995,12
2,69,4387.155385,10.25036305,11
2,70,3718.081538,8.687106397,9
2,71,2704.424615,6.3187491,7
2,72,2033.341538,4.750797986,5
2,73,938.3107692,2.192314881,3
2,74,413.9015385,0.967059669,1
2,75,307.4123077,0.718253055,1
2,76,492.2615385,1.150143782,2
2,77,866.9830769,2.025661395,3
2,78,1351.207692,3.157027318,4
2,79,1882.649231,4.398713157,5
2,80,2417.104615,5.647440689,6
2,81,2923.430769,6.830445722,7
2,82,3382.54,7.903130841,8
2,83,3783.381538,8.839676491,9
2,84,4125.955385,9.640082675,10
2,85,4409.256923,10.30200216,11
2,86,4637.304615,10.83482387,11
2,87,4813.112308,11.2455895,12
2,88,4937.684615,11.5366463,12
2,89,5004.993846,11.69391086,12
2,90,5001.98,11.68686916,12
2,91,4906.541538,11.4638821,12
2,92,4681.507692,10.93810208,11
2,93,4277.652308,9.994514738,10
2,94,3625.656923,8.471161035,9
2,95,2636.110769,6.159137311,7
2,96,1983.110769,4.633436376,5
2,97,915.2046154,2.138328541,3
2,98,403.8553846,0.943587347,1
2,99,299.3753846,0.699475198,1
2,100,480.2061538,1.121976995,2
2,101,844.8815385,1.974022286,2
2,102,1317.050769,3.077221423,4
2,103,1835.432308,4.288393243,5
2,104,2356.827692,5.506606757,6
2,105,2850.093846,6.659097771,7
2,106,3297.147692,7.703616103,8
2,107,3688.947692,8.619036664,9
2,108,4022.48,9.398317757,10
2,109,4298.749231,10.04380661,11
2,110,4520.769231,10.56254493,11
2,111,4693.563077,10.96626887,11
2,112,4814.116923,11.24793674,12
2,113,4880.421538,11.40285406,12
2,114,4877.407692,11.39581236,12
2,115,4783.978462,11.17751977,12
2,116,4564.972308,10.66582315,11
2,117,4170.158462,9.743360893,10
2,118,3534.236923,8.257562904,9
2,119,2570.810769,6.006567217,7
2,120,1486.830769,3.473903666,4
2,121,686.1523077,1.603159597,2
2,122,302.3892308,0.706516894,1
2,123,225.0338462,0.525780014,1
2,124,359.6523077,0.84030913,1
2,125,633.9123077,1.481103523,2
2,126,987.5369231,2.30732926,3
2,127,1376.323077,3.215708124,4
2,128,1767.118462,4.128781453,5
2,129,2137.821538,4.994910136,5
2,130,2473.363077,5.778885694,6
2,131,2766.710769,6.464277498,7
2,132,3016.86,7.048738318,8
2,133,3223.810769,7.532268152,8
2,134,3390.576923,7.921908699,8
2,135,3520.172308,8.224701654,9
2,136,3610.587692,8.435952551,9
2,137,3659.813846,8.55096693,9
2,138,3657.804615,8.546272465,9
2,139,3587.481538,8.38196621,9
2,140,3423.729231,7.999367362,8
2,141,3128.372308,7.309281093,8
2,142,2651.18,6.194345794,7
2,143,1927.856923,4.504338605,5
2,144,1586.287692,3.706279654,4
2,145,732.3646154,1.711132279,2
2,146,322.4815385,0.753461539,1
2,147,239.0984615,0.558641265,1
2,148,383.7630769,0.896642703,1
2,149,676.1061538,1.579687275,2
2,150,1053.841538,2.462246584,3
2,151,1468.747692,3.431653486,4
2,152,1885.663077,4.405754853,5
2,153,2280.476923,5.32821711,6
2,154,2638.12,6.163831776,7
2,155,2951.56,6.896168224,7
2,156,3217.783077,7.518184759,8
2,157,3438.798462,8.034575846,9
2,158,3616.615385,8.450035946,9
2,159,3754.247692,8.771606757,9
2,160,3851.695385,8.999288283,9
2,161,3903.935385,9.121344357,10
2,162,3901.926154,9.116649893,10
2,163,3827.584615,8.942954708,9
2,164,3683.924615,8.607300502,9
2,165,3458.890769,8.081520488,9
2,166,3038.961538,7.100377425,8
2,167,2421.123077,5.656829619,6
3,0,2017.873846,4.714658519,5
3,1,1233.480769,2.881964414,3
3,2,448.0807692,1.046917685,2
3,3,332.2846154,0.776365924,1
3,4,532.6623077,1.244538102,2
3,5,937.4453846,2.190292955,3
3,6,1461.045385,3.413657442,4
3,7,2035.998462,4.757005752,5
3,8,2613.972308,6.107411935,7
3,9,3160.731538,7.384886771,8
3,10,3657.144615,8.544730409,9
3,11,4092.135385,9.561063984,10
3,12,4461.676154,10.424477,11
3,13,4767.780769,11.13967469,12
3,14,5014.476923,11.71606758,12
3,15,5204.785385,12.16071352,13
3,16,5339.713077,12.47596513,13
3,17,5412.211538,12.64535406,13
3,18,5409.190769,12.63829619,13
3,19,5305.477692,12.39597592,13
3,20,5062.809231,11.82899353,12
